Time (s),Distance (mm)
99.761209,2055
99.858603,2049
99.954687,2041
100.051811,2052
100.148631,2051
100.245151,2051
100.342683,2051
100.439929,2042
100.537006,2050
100.635683,2055
100.731184,2051
100.827294,2049
100.924123,2050
101.0217,2054
101.118876,2050
101.216531,2054
101.312032,2045
101.409439,2050
101.507736,2051
101.604137,2050
101.702074,2053
101.798775,2044
101.894657,2049
101.99184,2042
102.088699,2052
102.186017,2046
102.284973,2048
102.380146,2045
102.476444,2053
102.574665,2050
102.671608,2055
102.767895,2051
102.865269,2058
102.962065,2047
103.058555,2048
103.155549,2045
103.279319,2048
103.399133,2049
103.446584,2042
103.544462,2047
103.641211,2054
103.737058,2052
103.834804,2048
103.932077,2049
104.028518,2057
104.125327,2052
104.222547,2046
104.319505,2051
104.416767,2042
104.513853,2052
104.611747,2045
104.708387,2051
104.80434,2049
104.901762,2048
105.022098,2047
105.095871,2052
105.193049,2048
105.289549,2051
105.387779,2056
105.484004,2050
105.581182,2051
105.677018,2057
105.774337,2053
105.871609,2052
105.967954,2046
106.066078,2059
106.162191,2048
106.25998,2049
106.356485,2051
106.454059,2043
106.551725,2052
106.647492,2051
106.745374,2052
106.8426,2046
106.939019,2044
107.035412,2052
107.133155,2051
107.229118,2046
107.326609,2055
107.424093,2052
107.523666,2051
107.617614,2047
107.714561,2053
107.811559,2053
107.908431,2050
108.005508,2050
108.102896,2043
108.199752,2049
108.296414,2050
108.393342,2045
108.49071,2051
108.587846,2046
108.684858,2041
108.781367,2049
108.878387,2046
108.976334,2052
109.072189,2050
109.168933,2052
109.268445,2058
109.363495,2049
109.461381,2043
109.557494,2042
109.654795,2053
109.752771,2052
109.848723,2046
109.945341,2049
110.043451,2053
110.139246,2047
110.23722,2041
110.335466,2049
110.430325,2049
110.527394,2050
110.625076,2051
110.72232,2048
110.817878,2056
110.915848,2052
111.012404,2051
111.109323,2049
111.205857,2051
111.30308,2052
111.399071,2063
111.49686,2048
111.594169,2048
111.69145,2047
111.788619,2047
111.884938,2048
111.981283,2051
112.078907,2051
112.175741,2045
112.273092,2047
112.369719,2049
112.466678,2049
112.565098,2043
112.660853,2047
112.758879,2049
112.85482,2045
112.952708,2053
113.051896,2051
113.153443,2059
113.242995,2047
113.339791,2051
113.436953,2049
113.534562,2050
113.630396,2052
113.727411,2049
113.825101,2049
113.921228,2049
114.018621,2042
114.115366,2047
114.212016,2048
114.309892,2051
114.407963,2042
114.505123,2056
114.600919,2050
114.698297,2051
114.795035,2044
114.891149,2040
114.988985,2048
115.085902,2050
115.182669,2054
115.279298,2053
115.377185,2051
115.474038,2050
115.572258,2047
115.668287,2050
115.765737,2047
115.861354,2049
115.958819,2047
116.055456,2042
116.152474,2048
116.249526,2050
116.346674,2049
116.44398,2052
116.540998,2056
116.636947,2053
116.734471,2049
116.83156,2052
116.929314,2049
117.02566,2045
117.122809,2051
117.220086,2048
117.317932,2046
117.413766,2052
117.510379,2047
117.609953,2046
117.705123,2046
117.801722,2054
117.900347,2048
117.996083,2050
118.092731,2052
118.189444,2049
118.287113,2049
118.38469,2051
118.480574,2046
118.577737,2049
118.674415,2050
118.772378,2052
118.871893,2047
118.965906,2042
119.062743,2047
119.159273,2053
119.257659,2050
119.353499,2052
119.450902,2050
119.548195,2048
119.645255,2051
119.742919,2048
119.838807,2047
119.935136,2050
120.032917,2047
